"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 05, 2021","41.79","41.12","41.79","38.86","4.88M","1.68%"
"Jan 04, 2021","41.10","41.25","43.21","38.09","6.87M","-0.29%"
"Jan 03, 2021","41.22","38.24","41.64","37.78","6.34M","7.81%"
"Jan 02, 2021","38.23","37.73","38.46","36.81","3.94M","1.35%"
"Jan 01, 2021","37.72","37.33","38.93","36.98","3.24M","1.04%"
"Dec 31, 2020","37.34","38.10","38.19","36.73","2.57M","-2.01%"
"Dec 30, 2020","38.10","39.14","39.21","36.84","3.38M","-2.56%"
"Dec 29, 2020","39.10","35.94","39.70","35.31","9.68M","8.80%"
"Dec 28, 2020","35.94","33.64","36.09","33.35","5.58M","6.72%"
"Dec 27, 2020","33.68","33.60","34.97","31.97","4.90M","0.26%"
"Dec 26, 2020","33.59","33.18","34.00","32.57","3.17M","1.23%"
"Dec 25, 2020","33.18","32.51","33.48","31.80","3.35M","2.06%"
"Dec 24, 2020","32.51","31.19","32.74","30.40","3.93M","4.22%"
"Dec 23, 2020","31.19","33.52","34.43","30.03","5.45M","-6.94%"
"Dec 22, 2020","33.52","32.14","33.77","30.50","5.01M","4.24%"
"Dec 21, 2020","32.15","34.27","35.60","31.53","6.15M","-6.18%"
"Dec 20, 2020","34.27","33.30","35.63","32.61","5.83M","2.92%"
"Dec 19, 2020","33.30","30.96","34.21","30.91","5.31M","7.56%"
"Dec 18, 2020","30.96","30.22","31.21","29.69","2.87M","2.43%"
"Dec 17, 2020","30.22","30.56","31.51","29.76","4.49M","-1.09%"
"Dec 16, 2020","30.56","29.51","30.62","29.04","3.09M","3.54%"
"Dec 15, 2020","29.51","30.03","30.35","29.33","2.61M","-1.71%"
"Dec 14, 2020","30.03","29.14","30.18","28.66","2.68M","3.05%"
"Dec 13, 2020","29.14","28.17","29.26","28.02","2.18M","3.53%"
"Dec 12, 2020","28.14","27.34","28.23","27.28","1.75M","2.98%"
"Dec 11, 2020","27.33","27.73","27.79","26.73","1.70M","-1.19%"
"Dec 10, 2020","27.66","28.15","28.25","27.45","1.74M","-1.71%"
"Dec 09, 2020","28.14","27.63","28.42","26.94","2.51M","1.67%"
"Dec 08, 2020","27.68","29.36","29.52","27.47","2.86M","-5.76%"
"Dec 07, 2020","29.37","29.49","29.65","29.00","1.64M","-0.66%"
"Dec 06, 2020","29.56","29.73","30.17","29.01","1.72M","-0.57%"
"Dec 05, 2020","29.73","29.02","30.04","28.65","2.34M","2.41%"
"Dec 04, 2020","29.03","30.68","31.19","28.81","2.67M","-5.44%"
"Dec 03, 2020","30.70","30.30","30.79","29.89","2.43M","1.33%"
"Dec 02, 2020","30.30","30.08","30.99","29.61","2.93M","0.30%"
"Dec 01, 2020","30.21","31.42","31.88","29.23","4.15M","-4.08%"
"Nov 30, 2020","31.49","30.10","31.59","29.72","3.82M","4.67%"
"Nov 29, 2020","30.09","29.15","30.45","28.92","3.78M","3.18%"
"Nov 28, 2020","29.16","28.46","29.61","27.92","3.54M","2.52%"
"Nov 27, 2020","28.44","28.22","28.71","27.23","3.26M","0.78%"
"Nov 26, 2020","28.22","31.28","31.76","26.45","8.78M","-9.80%"
"Nov 25, 2020","31.29","33.93","35.38","30.54","6.28M","-7.74%"
"Nov 24, 2020","33.91","32.33","35.13","31.59","9.72M","9.46%"
"Nov 23, 2020","30.98","30.04","31.06","29.80","3.94M","3.14%"
"Nov 22, 2020","30.04","30.49","31.12","29.00","3.92M","-1.50%"
"Nov 21, 2020","30.50","28.96","30.79","28.33","4.24M","5.31%"
"Nov 20, 2020","28.96","28.12","29.30","28.08","3.35M","3.05%"
"Nov 19, 2020","28.10","28.07","28.35","27.62","2.77M","0.10%"
"Nov 18, 2020","28.07","28.55","28.77","27.51","3.08M","-1.70%"
"Nov 17, 2020","28.56","27.95","28.75","27.93","3.06M","2.12%"
"Nov 16, 2020","27.96","27.67","28.21","27.45","2.36M","1.08%"
"Nov 15, 2020","27.66","27.92","28.22","27.08","2.04M","-0.90%"
"Nov 14, 2020","27.91","28.21","28.21","27.39","2.10M","-0.98%"
"Nov 13, 2020","28.19","27.71","28.51","27.52","2.65M","1.75%"
"Nov 12, 2020","27.71","28.00","28.15","27.31","2.30M","-1.02%"
"Nov 11, 2020","27.99","28.21","28.58","27.83","2.66M","-0.72%"
"Nov 10, 2020","28.19","28.09","28.48","27.67","3.00M","0.38%"
"Nov 09, 2020","28.09","28.38","28.94","27.36","3.05M","-1.05%"
"Nov 08, 2020","28.38","27.76","28.70","27.46","3.21M","2.24%"
"Nov 07, 2020","27.76","29.06","29.86","26.90","4.36M","-4.46%"
"Nov 06, 2020","29.06","27.69","29.44","27.68","3.83M","4.94%"
"Nov 05, 2020","27.69","26.94","27.89","26.68","3.38M","2.77%"
"Nov 04, 2020","26.94","26.88","26.96","25.95","3.01M","0.26%"
"Nov 03, 2020","26.87","27.80","27.80","25.84","3.63M","-3.33%"
"Nov 02, 2020","27.80","28.52","29.30","27.80","2.95M","-2.50%"
"Nov 01, 2020","28.51","28.51","28.68","28.08","2.65M","0.00%"
"Oct 31, 2020","28.51","28.49","28.88","28.13","2.77M","0.07%"
"Oct 30, 2020","28.49","29.87","30.25","27.58","4.41M","-4.60%"
"Oct 29, 2020","29.86","30.33","30.42","29.49","2.76M","-1.55%"
"Oct 28, 2020","30.33","31.49","31.93","29.81","3.11M","-3.71%"
"Oct 27, 2020","31.50","31.04","32.37","30.91","3.98M","1.48%"
"Oct 26, 2020","31.04","30.15","31.39","29.96","3.65M","2.96%"
"Oct 25, 2020","30.15","30.63","30.96","29.90","2.12M","-1.60%"
"Oct 24, 2020","30.64","30.64","30.85","30.42","2.25M","0.02%"
"Oct 23, 2020","30.64","30.64","31.17","30.09","2.81M","-0.03%"
"Oct 22, 2020","30.65","29.74","31.29","29.71","3.87M","3.05%"
"Oct 21, 2020","29.74","28.78","30.39","28.64","3.69M","3.28%"
"Oct 20, 2020","28.80","29.92","30.08","28.50","3.55M","-3.74%"
"Oct 19, 2020","29.92","30.65","30.66","29.74","2.45M","-2.44%"
"Oct 18, 2020","30.66","30.22","31.01","30.17","3.10M","1.43%"
"Oct 17, 2020","30.23","30.02","30.56","29.68","2.57M","0.71%"
"Oct 16, 2020","30.02","31.29","31.96","29.57","4.09M","-4.13%"
"Oct 15, 2020","31.31","30.84","31.65","30.43","3.67M","1.52%"
"Oct 14, 2020","30.84","30.73","31.32","30.40","3.39M","0.39%"
"Oct 13, 2020","30.72","30.66","31.78","30.21","4.54M","0.00%"
"Oct 12, 2020","30.72","28.52","31.09","28.44","5.87M","7.71%"
"Oct 11, 2020","28.52","28.41","28.72","27.91","3.21M","0.51%"
"Oct 10, 2020","28.38","28.40","29.24","28.11","3.23M","0.00%"
"Oct 09, 2020","28.38","27.69","28.51","27.48","3.47M","2.49%"
"Oct 08, 2020","27.69","27.70","27.80","26.54","3.35M","0.00%"
"Oct 07, 2020","27.70","27.69","27.90","26.84","2.81M","0.00%"
"Oct 06, 2020","27.70","28.58","28.98","27.26","3.78M","-3.12%"
"Oct 05, 2020","28.59","29.01","29.25","28.10","3.05M","-1.46%"
"Oct 04, 2020","29.01","28.19","29.10","28.01","4.09M","2.97%"
"Oct 03, 2020","28.18","27.31","28.38","27.08","3.90M","3.22%"
"Oct 02, 2020","27.30","27.45","28.16","25.71","5.51M","-0.66%"
"Oct 01, 2020","27.48","29.27","29.38","26.26","5.34M","-6.28%"
"Sep 30, 2020","29.32","28.81","29.55","27.90","4.13M","1.79%"
"Sep 29, 2020","28.81","26.99","28.99","26.90","4.80M","6.76%"
"Sep 28, 2020","26.98","26.23","27.70","25.85","4.28M","2.87%"
"Sep 27, 2020","26.23","26.18","26.87","25.54","3.43M","0.13%"
"Sep 26, 2020","26.20","24.68","26.46","24.48","4.14M","6.14%"
"Sep 25, 2020","24.68","24.57","25.06","23.78","3.80M","0.44%"
"Sep 24, 2020","24.57","22.81","24.66","22.59","4.39M","7.74%"
"Sep 23, 2020","22.81","24.04","24.32","22.47","4.21M","-5.10%"
"Sep 22, 2020","24.03","23.03","24.55","22.75","4.43M","4.35%"
"Sep 21, 2020","23.03","26.32","26.65","22.32","7.10M","-12.64%"
"Sep 20, 2020","26.37","27.20","27.31","25.14","3.94M","-3.06%"
"Sep 19, 2020","27.20","27.66","27.95","26.66","3.36M","-1.70%"
"Sep 18, 2020","27.67","27.06","28.73","26.65","5.75M","2.26%"
"Sep 17, 2020","27.06","27.83","28.78","26.06","6.22M","-2.76%"
"Sep 16, 2020","27.83","27.12","28.43","25.94","7.79M","2.64%"
"Sep 15, 2020","27.11","31.14","31.14","26.75","10.69M","-12.83%"
"Sep 14, 2020","31.10","31.14","33.35","29.05","12.31M","-0.18%"
"Sep 13, 2020","31.16","28.50","32.32","28.13","15.13M","9.31%"
"Sep 12, 2020","28.50","25.40","28.52","25.39","9.43M","12.20%"
"Sep 11, 2020","25.40","24.53","25.68","23.11","5.40M","3.55%"
"Sep 10, 2020","24.53","24.49","25.54","24.10","6.22M","0.18%"
"Sep 09, 2020","24.49","23.24","24.51","22.46","5.97M","5.38%"
"Sep 08, 2020","23.24","22.45","23.41","21.30","7.72M","3.52%"
"Sep 07, 2020","22.45","23.18","23.55","20.13","7.46M","-3.17%"
"Sep 06, 2020","23.18","19.47","23.44","18.58","10.83M","19.08%"
"Sep 05, 2020","19.47","20.96","21.53","18.02","5.88M","-7.10%"
"Sep 04, 2020","20.95","20.33","21.83","19.42","8.41M","3.05%"
"Sep 03, 2020","20.33","24.70","25.54","20.18","10.46M","-17.69%"
"Sep 02, 2020","24.70","24.72","25.81","23.23","8.96M","-0.08%"
"Sep 01, 2020","24.72","23.13","25.39","22.87","6.86M","6.87%"
"Aug 31, 2020","23.13","23.63","23.90","22.99","2.94M","-2.09%"
"Aug 30, 2020","23.63","22.94","23.83","22.91","3.13M","2.98%"
"Aug 29, 2020","22.94","23.07","23.50","22.75","2.89M","-0.54%"
"Aug 28, 2020","23.07","23.10","23.57","22.62","3.87M","-0.16%"
"Aug 27, 2020","23.11","22.20","23.14","21.83","4.46M","4.09%"
"Aug 26, 2020","22.20","21.39","22.48","21.28","3.85M","3.76%"
"Aug 25, 2020","21.39","22.61","22.63","20.99","3.53M","-5.36%"
"Aug 24, 2020","22.61","21.85","22.96","21.67","2.44M","3.49%"
"Aug 23, 2020","21.84","22.19","22.22","21.55","2.56M","-1.61%"
"Aug 22, 2020","22.20","22.09","22.26","21.29","3.00M","0.62%"
"Aug 21, 2020","22.06","23.07","23.33","21.63","3.85M","-4.36%"
"Aug 20, 2020","23.07","22.35","23.30","22.02","3.31M","3.20%"
"Aug 19, 2020","22.35","23.01","23.25","21.86","3.27M","-2.85%"
"Aug 18, 2020","23.01","23.51","23.77","22.37","3.86M","-2.10%"
"Aug 17, 2020","23.50","23.50","23.92","23.00","3.63M","0.00%"
"Aug 16, 2020","23.50","23.02","23.77","22.72","3.88M","2.15%"
"Aug 15, 2020","23.01","23.11","23.78","22.81","3.93M","-0.45%"
"Aug 14, 2020","23.11","21.78","23.29","21.27","5.34M","6.13%"
"Aug 13, 2020","21.78","21.50","21.86","20.64","4.38M","1.28%"
"Aug 12, 2020","21.50","21.27","21.97","20.60","3.57M","1.10%"
"Aug 11, 2020","21.27","22.63","22.72","20.70","4.55M","-6.01%"
"Aug 10, 2020","22.63","22.44","22.78","22.08","3.06M","0.84%"
"Aug 09, 2020","22.44","22.92","22.94","22.05","3.04M","-2.12%"
"Aug 08, 2020","22.92","22.34","22.92","21.86","3.37M","2.63%"
"Aug 07, 2020","22.33","22.75","23.00","21.50","4.14M","-1.80%"
"Aug 06, 2020","22.75","23.27","23.29","22.53","3.64M","-2.30%"
"Aug 05, 2020","23.28","22.30","23.54","22.09","5.36M","4.39%"
"Aug 04, 2020","22.30","22.07","22.44","21.52","3.65M","1.07%"
"Aug 03, 2020","22.07","21.00","22.49","20.72","4.06M","5.07%"
"Aug 02, 2020","21.00","21.63","22.15","19.26","5.00M","-2.87%"
"Aug 01, 2020","21.62","20.67","21.75","20.58","3.86M","4.62%"
"Jul 31, 2020","20.67","19.98","20.85","19.91","3.35M","3.44%"
"Jul 30, 2020","19.98","19.84","20.09","19.56","3.18M","0.69%"
"Jul 29, 2020","19.84","19.84","19.85","19.80","3.43M","-1.61%"
"Jul 28, 2020","20.17","19.79","20.62","19.46","5.19M","1.87%"
"Jul 27, 2020","19.79","19.55","20.18","18.45","5.59M","1.23%"
"Jul 26, 2020","19.55","19.80","20.25","19.34","4.23M","-1.23%"
"Jul 25, 2020","19.80","19.18","20.03","19.16","4.41M","3.20%"
"Jul 24, 2020","19.18","18.76","19.54","18.24","4.12M","2.28%"
"Jul 23, 2020","18.76","18.11","18.76","18.05","3.66M","3.63%"
"Jul 22, 2020","18.10","17.72","18.11","17.46","3.39M","2.15%"
"Jul 21, 2020","17.72","17.47","17.98","17.40","3.29M","1.44%"
"Jul 20, 2020","17.47","18.01","18.33","17.28","3.68M","-3.00%"
"Jul 19, 2020","18.01","17.13","18.10","16.90","3.75M","5.10%"
"Jul 18, 2020","17.13","17.07","17.32","16.83","2.60M","0.36%"
"Jul 17, 2020","17.07","17.15","17.48","16.99","2.79M","-0.43%"
"Jul 16, 2020","17.15","17.63","17.76","16.56","3.20M","-2.73%"
"Jul 15, 2020","17.63","18.09","18.15","17.44","2.91M","-2.55%"
"Jul 14, 2020","18.09","18.42","18.76","17.88","3.43M","-1.77%"
"Jul 13, 2020","18.42","18.31","18.99","17.73","4.28M","0.62%"
"Jul 12, 2020","18.31","17.62","18.59","17.60","4.01M","3.89%"
"Jul 11, 2020","17.62","17.30","17.68","17.03","3.13M","1.85%"
"Jul 10, 2020","17.30","16.83","17.33","16.44","2.82M","2.76%"
"Jul 09, 2020","16.84","17.28","17.47","16.49","2.70M","-2.47%"
"Jul 08, 2020","17.26","16.80","17.45","16.62","3.23M","2.76%"
"Jul 07, 2020","16.80","16.30","16.86","16.06","2.77M","3.06%"
"Jul 06, 2020","16.30","15.51","16.33","15.44","2.47M","5.13%"
"Jul 05, 2020","15.50","15.56","15.61","15.16","1.83M","-0.34%"
"Jul 04, 2020","15.56","15.28","15.63","15.23","2.03M","1.84%"
"Jul 03, 2020","15.28","15.36","15.48","15.26","1.94M","-0.53%"
"Jul 02, 2020","15.36","15.81","15.96","15.09","2.26M","-2.88%"
"Jul 01, 2020","15.81","15.40","15.88","15.34","2.58M","2.66%"